Timestamp,EEG.AF3,EEG.Pz,EEG.AF4,CQ.AF3,CQ.Pz,CQ.AF4,CQ.Overall,EQ.OVERALL,EQ.AF3,EQ.Pz,EQ.AF4,PM.Attention.IsActive,PM.Attention.Scaled,PM.Attention.Raw,PM.Attention.Min,PM.Attention.Max,PM.Engagement.IsActive,PM.Engagement.Scaled,PM.Engagement.Raw,PM.Engagement.Min,PM.Engagement.Max,PM.Excitement.IsActive,PM.Excitement.Scaled,PM.Excitement.Raw,PM.Excitement.Min,PM.Excitement.Max,PM.LongTermExcitement,PM.Stress.IsActive,PM.Stress.Scaled,PM.Stress.Raw,PM.Stress.Min,PM.Stress.Max,PM.Relaxation.IsActive,PM.Relaxation.Scaled,PM.Relaxation.Raw,PM.Relaxation.Min,PM.Relaxation.Max,PM.Interest.IsActive,PM.Interest.Scaled,PM.Interest.Raw,PM.Interest.Min,PM.Interest.Max,PM.Focus.IsActive,PM.Focus.Scaled,PM.Focus.Raw,PM.Focus.Min,PM.Focus.Max,POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.Pz.Theta,POW.Pz.Alpha,POW.Pz.BetaL,POW.Pz.BetaH,POW.Pz.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma,label
1709134426.670268,4271.282227,4093.846191,4283.589844,4.0,4.0,4.0,100.0,100.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.338234,1.922096,2.613787,3.360346,2.787261,2.387966,0.43581,0.436757,0.456126,0.390237,11.728321,1.461664,0.946068,0.621138,0.57133,1.0
1709134426.795303,4240.0,4122.563965,4208.205078,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.855778,4.517261,3.210934,3.413366,2.801636,2.736201,0.344131,0.638041,0.517019,0.41615,25.968779,2.075239,1.019532,0.566382,0.557436,1.0
1709134426.920339,4231.282227,4040.512939,4154.871582,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.559814,9.131287,4.130737,3.45704,3.027186,3.376864,0.339933,0.933884,0.626632,0.435031,48.244251,3.159638,1.094259,0.583127,0.560922,1.0
1709134427.045374,4471.282227,4107.179688,4406.666504,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.025589,15.252148,5.190459,3.514317,3.369979,4.86761,0.55637,1.34767,0.755262,0.440054,74.509262,4.643551,1.123264,0.661611,0.557621,1.0
1709134427.17041,4314.358887,4104.102539,4258.974121,4.0,4.0,4.0,100.0,100.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.966049,21.440039,6.206927,3.61375,3.682742,7.814163,1.109376,1.881258,0.869039,0.430495,96.579544,6.253964,1.09379,0.768463,0.533448,1.0
1709134427.17041,4314.358887,4104.102539,4258.974121,4.0,4.0,4.0,100.0,100.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.966049,21.440039,6.206927,3.61375,3.682742,7.814163,1.109376,1.881258,0.869039,0.430495,96.579544,6.253964,1.09379,0.768463,0.533448,1.0
1709134427.295445,4291.794922,4078.974365,4254.871582,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.744339,25.753094,7.025827,3.74867,3.869159,12.444845,1.975347,2.484556,0.944326,0.413926,107.421837,7.494669,1.02657,0.86204,0.491047,1.0
1709134427.420481,4245.128418,4063.589844,4199.487305,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.937195,26.965839,7.586267,3.883354,3.942467,18.133259,2.965979,3.039453,0.976407,0.404165,105.494949,8.047621,0.978458,0.911067,0.446116,1.0
1709134427.545517,4364.615234,4125.641113,4241.025879,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.149399,25.037542,7.855329,3.945066,4.001595,23.495918,3.804698,3.399345,0.976778,0.412727,92.854553,7.844675,0.965992,0.908084,0.418062,1.0
1709134427.670552,4422.563965,4107.692383,4384.102539,4.0,4.0,4.0,100.0,100.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.604828,21.122356,7.880713,3.879638,4.132583,26.666281,4.216082,3.450672,0.962976,0.442338,76.831848,7.065596,0.9833,0.868676,0.419666,1.0
