                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9486,                 3.9167,                 1.7246,                0.42126,                0.53704,                0.38064,                0.19896,                 1.5381,                 2.5779,                 1.4979,                0.00056,                0.00056,                0.00056
                      2,                 1.8534,                 2.0429,                 1.6676,                  0.028,                0.12963,                0.02212,                0.01173,                 2.1615,                  6.472,                 2.0867,              0.0011287,              0.0011287,              0.0011287
                      3,                 2.0076,                 2.0626,                 1.7416,                0.59452,                0.14815,                0.15799,                0.07445,                 2.3453,                 4.1688,                  2.549,              0.0016859,              0.0016859,              0.0016859
                      4,                 2.0987,                 2.3564,                 1.8407,                0.01165,                0.27778,                0.00496,                0.00126,                 3.8488,                  34.91,                 8.9224,              0.0019406,              0.0019406,              0.0019406
                      5,                 2.1202,                  2.213,                 1.8974,                0.02739,                0.03704,                 0.0039,                0.00178,                 3.4871,                 8.3989,                  6.352,              0.0019406,              0.0019406,              0.0019406
                      6,                 2.0393,                 2.0697,                 1.8586,                 0.1719,                0.07407,                0.03924,                0.00883,                 3.6698,                 16.631,                 5.4855,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.9883,                 1.9741,                 1.8062,                0.12001,                0.25926,                 0.0922,                0.04387,                 2.3367,                 10.628,                 2.2966,               0.001901,               0.001901,               0.001901
                      8,                 2.0074,                 2.0272,                  1.841,                 0.2838,                0.35185,                0.27956,                0.12803,                 2.1534,                 2.6002,                  2.017,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.9689,                 1.9822,                 1.7742,                0.25894,                0.31481,                0.20277,                0.08269,                 2.1749,                 2.6238,                  1.948,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.9307,                  1.916,                 1.7508,                0.45835,                 0.2963,                0.28144,                 0.1364,                 2.0387,                 2.5342,                 1.8661,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.9272,                 1.8981,                 1.7739,                0.50436,                0.40741,                0.43126,                0.18026,                 1.9574,                 2.0993,                 1.7966,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.8866,                 1.8404,                  1.716,                0.69987,                0.51852,                0.55956,                0.30503,                 1.7644,                 1.7177,                 1.6264,               0.001802,               0.001802,               0.001802
                     13,                 1.8699,                 1.7421,                 1.6742,                0.50593,                0.37037,                0.36532,                0.18249,                  1.945,                 2.2674,                 1.7605,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.8341,                 1.7532,                 1.6647,                0.49653,                0.51146,                0.52362,                0.29888,                 1.8267,                 1.9966,                 1.7265,              0.0017624,              0.0017624,              0.0017624
                     15,                  1.793,                 1.6872,                 1.6821,                0.61891,                0.44444,                0.48072,                0.25905,                 1.8515,                 1.9742,                 1.7238,              0.0017426,              0.0017426,              0.0017426
                     16,                 1.7446,                   1.64,                  1.624,                0.66205,                0.48148,                0.57093,                0.25772,                  1.926,                 1.7307,                 1.7901,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.7471,                 1.5879,                 1.6508,                0.69325,                0.54416,                0.60583,                0.30674,                 1.8056,                 1.5566,                 1.7131,               0.001703,               0.001703,               0.001703
                     18,                 1.7082,                  1.531,                 1.6158,                0.61924,                0.51209,                 0.6095,                0.33191,                 1.6672,                 1.4531,                 1.6316,              0.0016832,              0.0016832,              0.0016832
                     19,                 1.7213,                 1.5863,                 1.6078,                0.68014,                    0.5,                0.48914,                  0.234,                 1.8631,                 1.8762,                 1.7659,              0.0016634,              0.0016634,              0.0016634
                     20,                 1.6793,                   1.49,                 1.5949,                0.74122,                0.47748,                0.57901,                0.31246,                 1.8221,                  1.602,                 1.6799,              0.0016436,              0.0016436,              0.0016436
                     21,                 1.6413,                 1.4592,                 1.5731,                0.78907,                0.55425,                0.62962,                0.35448,                 1.6321,                 1.4833,                 1.5935,              0.0016238,              0.0016238,              0.0016238
                     22,                  1.626,                 1.3908,                 1.5312,                0.61277,                0.55681,                0.61462,                0.32906,                 1.7456,                 1.5739,                 1.6443,               0.001604,               0.001604,               0.001604
                     23,                  1.553,                  1.371,                 1.4981,                0.72023,                0.52452,                 0.6154,                0.30518,                 1.7864,                 1.7128,                 1.6908,              0.0015842,              0.0015842,              0.0015842
                     24,                 1.5766,                 1.3966,                 1.5213,                0.65514,                0.59259,                0.61708,                0.32339,                 1.6999,                 1.5747,                 1.6263,              0.0015644,              0.0015644,              0.0015644
                     25,                  1.528,                 1.3254,                 1.4615,                0.70104,                0.56464,                0.59916,                0.33017,                 1.6385,                 1.6464,                   1.56,              0.0015446,              0.0015446,              0.0015446
                     26,                 1.5335,                 1.3186,                 1.4972,                0.71879,                0.62963,                0.69509,                0.36111,                 1.6724,                 1.3689,                 1.5842,              0.0015248,              0.0015248,              0.0015248
                     27,                 1.5299,                 1.3142,                  1.487,                0.73009,                0.61111,                0.70611,                0.38193,                 1.6187,                 1.3584,                 1.5846,               0.001505,               0.001505,               0.001505
                     28,                 1.4912,                 1.2347,                 1.4391,                0.65999,                0.66667,                0.66949,                0.35868,                 1.6321,                 1.3799,                 1.5678,              0.0014852,              0.0014852,              0.0014852
                     29,                 1.4987,                 1.2127,                 1.4518,                 0.6985,                0.62963,                0.63439,                0.35682,                 1.5764,                 1.4328,                  1.537,              0.0014654,              0.0014654,              0.0014654
                     30,                  1.451,                  1.202,                 1.4324,                0.70678,                0.61111,                0.62068,                0.34716,                 1.6521,                 1.4644,                 1.5773,              0.0014456,              0.0014456,              0.0014456
                     31,                 1.4428,                 1.1794,                 1.4075,                0.81954,                0.58879,                0.66903,                0.38594,                 1.6404,                 1.4389,                 1.5681,              0.0014258,              0.0014258,              0.0014258
                     32,                 1.4259,                 1.1794,                 1.4055,                0.67443,                0.57546,                0.65832,                0.36903,                 1.5689,                 1.4023,                  1.531,               0.001406,               0.001406,               0.001406
                     33,                 1.4133,                 1.1778,                 1.3991,                0.75334,                0.53704,                0.64406,                0.38787,                 1.5212,                 1.4607,                 1.5591,              0.0013862,              0.0013862,              0.0013862
